📊 کانفیگ‌های منحصر به فرد: 1819
✅ کانفیگ‌های سالم: 0
📌 انتخاب شده: 0

--- لیست سرورها ---
t.me/@GheychiAmoozesh✅:0 | نازده | N/A ms
2t1u04.abzoones.xyz:36868 | نازده | N/A ms
104.18.15.148:80 | نازده | N/A ms
129.154.228.4:8084 | نازده | N/A ms
5.161.232.128:3389 | نازده | N/A ms
5.161.100.112:3389 | نازده | N/A ms
5.161.199.157:80 | نازده | N/A ms
3d1c4a04.m1k2s.xyz:31701 | نازده | N/A ms
172.233.155.191:80 | نازده | N/A ms
agroup.node4.v.nodelist-gfwairport2.top:50001 | نازده | N/A ms
shcm002.theyydsnode.top:10658 | نازده | N/A ms
6w7j3p04.m1k2s.xyz:31116 | نازده | N/A ms
149.248.3.130:21859 | نازده | N/A ms
5.78.97.100:3389 | نازده | N/A ms
138.197.9.115:8881 | نازده | N/A ms
104.18.202.232:2083 | نازده | N/A ms
132.145.132.227:37121 | نازده | N/A ms
104.18.154.42:80 | نازده | N/A ms
5.78.69.72:3389 | نازده | N/A ms
143.110.211.221:3389 | نازده | N/A ms
5.161.78.202:3389 | نازده | N/A ms
38.95.232.241:80 | نازده | N/A ms
5.78.45.183:3389 | نازده | N/A ms
hexsen.com:443 | نازده | N/A ms
sgb.kalaa.online:80 | نازده | N/A ms
172.67.206.152:443 | نازده | N/A ms
216.24.57.214:8880 | نازده | N/A ms
45.131.4.209:8880 | نازده | N/A ms
66.225.252.209:8880 | نازده | N/A ms
154.197.121.209:8880 | نازده | N/A ms
198.71.191.214:8880 | نازده | N/A ms
160.153.1.212:8880 | نازده | N/A ms
50.62.194.212:8880 | نازده | N/A ms
192.169.222.211:8880 | نازده | N/A ms
166.62.106.214:8880 | نازده | N/A ms
198.71.232.211:8880 | نازده | N/A ms
50.62.91.214:8880 | نازده | N/A ms
205.233.181.3:443 | نازده | N/A ms
45.40.151.211:8880 | نازده | N/A ms
45.40.147.211:8880 | نازده | N/A ms
166.62.104.212:8880 | نازده | N/A ms
185.133.35.214:8880 | نازده | N/A ms
72.167.241.212:8880 | نازده | N/A ms
192.169.222.214:8880 | نازده | N/A ms
185.16.110.212:8880 | نازده | N/A ms
72.167.25.212:8880 | نازده | N/A ms
50.62.173.212:8880 | نازده | N/A ms
bBbbbbbBb.222769.XYZ:80 | نازده | N/A ms
199.34.229.212:8880 | نازده | N/A ms
199.34.228.214:8880 | نازده | N/A ms
166.62.112.214:8880 | نازده | N/A ms
160.79.104.214:8880 | نازده | N/A ms
192.169.221.214:8880 | نازده | N/A ms
192.169.220.214:8880 | نازده | N/A ms
192.200.160.211:8880 | نازده | N/A ms
2606:4700:3030::6815:6001:443 | نازده | N/A ms
gggggggggggggg.222769.xyz:80 | نازده | N/A ms
rak1ding.89060004.xyz:2083 | نازده | N/A ms
141.11.203.212:8880 | نازده | N/A ms
185.251.82.212:8880 | نازده | N/A ms
45.131.210.212:8880 | نازده | N/A ms
64.81.39.212:20086 | نازده | N/A ms
